WaferID,Batch,BatchIdx,Shift,F1_Tool,F1_Thickness_um,F1_TTV_um,F1_Warp_um,SCRAP_F1,F2_Tool,F2_RCA1_Temp_C,F2_RCA1_Time_s,F2_RCA2_Temp_C,F2_HFDip_Time_s,F2_Particles,F2_MetalContam_ppb,SCRAP_F2,F3_Tool,F3_OxTemp_C,F3_OxTime_min,F3_O2Flow_slm,F3_Thickness_nm,F3_ThicknessDev_nm,F3_Uniformity_pct,F3_KLA_Defects,SCRAP_F3,F4_Tool,F4_CVD_Temp_C,F4_Pressure_mTorr,F4_SiH4_sccm,F4_NH3_sccm,F4_SiN_Thickness_nm,F4_RefractiveIndex,SCRAP_F4,F5_Tool,F5_UVDose_mJ,F5_FocusOffset_nm,F5_BakeTemp_C,F5_DevTime_s,F5_CD_nm,F5_Overlay_nm,F5_KLA_Defects,SCRAP_F5,F6_Tool,F6_EtchTime_s,F6_EtchTemp_C,F6_RFPower_W,F6_CF4_sccm,F6_Pressure_mTorr,F6_Selectivity,F6_Uniformity_pct,F6_ProfileAngle_deg,F6_KLA_Defects,SCRAP_F6,F7_Tool,F7_O2Power_W,F7_StripTemp_C,F7_Time_s,F7_ResidualResist_pct,SCRAP_F7,F8_Tool,F8_Dose_ions_cm2,F8_Energy_keV,F8_Tilt_deg,F8_BeamCurrent_mA,F8_SheetRes_ohmSq,SCRAP_F8,F9_Tool,F9_PeakTemp_C,F9_RampRate_Cs,F9_SoakTime_s,F9_Activation_pct,SCRAP_F9,F10_Tool,F10_Pressure_psi,F10_Platen_rpm,F10_SlurryFlow_mlmin,F10_Time_s,F10_MRR_nmmin,F10_Dishing_nm,F10_Uniformity_pct,F10_KLA_Defects,SCRAP_F10,F11_Tool,F11_DCPower_kW,F11_Ar_sccm,F11_Pressure_mTorr,F11_CuThickness_nm,F11_Resistivity_uOhmcm,F11_StepCoverage_pct,SCRAP_F11,F12_Tool,F12_CurrentDensity_mAcm2,F12_BathTemp_C,F12_Additive_ppm,F12_PlatingTime_s,F12_VoidCount,F12_Overburden_nm,SCRAP_F12,F13_Tool,F13_TargetPower_kW,F13_N2_sccm,F13_Pressure_mTorr,F13_TaNThickness_nm,F13_StepCoverage_pct,F13_BarrierIntegrity,SCRAP_F13,Chem_HF_Reactivity,Chem_SC1_Efficiency,Chem_Cu_Potential_V,Chem_SiN_PlasmaReactivity,Chem_SelectivityIndex,TotalScraps,SCRAP_FINAL
116,BATCH_005,5,Morning,LOADPOINT_LP3,717.9,0.68,3.2,0,TEL_UW1200,79.0,554.0,76.4,25.1,8,0.252,0,AVIZA_ATMOS,998.0,68.5,4.59,103.64,3.64,3.28,2,0,LAM_VECTOR,771.3,228.5,91.99,560.3,78.87,2.03,0,ASML_XT1900i,27.69,-49.6,108.1,57.4,89.75,9.2,7,0,LAM_9400_TCP,44.0,60.5,787.9,76.81,100.7,10.0,1.91,89.1,1,0,MATTSON_ASPEN2,1309.6,261.5,173.0,0,0,AMAT_QUANTUMX,985873729759075.0,39.27,7.39,14.29,79.32,0,TEL_RTP,1049.8,71.19,9.2,83.69,0,NOVELLUS_MOMENTUM,3.84,63.1,192.5,96.8,112.55,6.73,2.39,5,0,NOVELLUS_INOVA,12.01,48.3,2.42,145.97,1.805,85.22,0,SEMITOOL_EQUINOX,21.5,22.6,7.91,123.8,0,310.4,0,TEL_TELINDY,8.39,30.6,2.23,10.89,91.26,Good,0,41.3329,95.0,0.3409,0.988,10.025,0,0
117,BATCH_005,5,Afternoon,LOADPOINT_LP3,724.9,1.01,6.1,0,TEL_UW1200,77.2,610.0,80.8,27.0,5,0.539,0,AVIZA_ATMOS,984.2,62.3,4.64,97.19,2.81,2.19,2,0,LAM_VECTOR,755.7,246.3,104.27,500.4,77.88,1.964,0,ASML_XT1900i,30.58,-8.2,110.7,62.5,89.0,7.9,4,0,LAM_9400_TCP,39.7,57.8,795.1,75.47,90.7,10.12,2.62,88.24,5,0,MATTSON_ASPEN2,1497.9,227.3,169.0,0.584,1,AMAT_QUANTUMX,975562093343283.0,38.91,7.06,15.2,82.13,0,TEL_RTP,1056.4,82.43,8.2,90.14,0,NOVELLUS_MOMENTUM,4.83,59.9,200.4,85.8,138.86,14.23,1.58,5,0,NOVELLUS_INOVA,12.17,49.6,3.71,151.83,1.869,82.21,0,SEMITOOL_EQUINOX,20.5,24.0,6.95,128.1,1,359.2,0,TEL_TELINDY,8.36,26.2,2.21,11.02,88.82,Good,0,38.0656,96.86,0.3403,0.947,10.221,1,0
118,BATCH_005,5,Night,LOADPOINT_LP3,719.9,1.35,0.7,0,TEL_UW1200,78.1,607.0,77.1,32.6,12,0.583,0,AVIZA_ATMOS,994.0,63.6,5.1,103.3,3.3,2.51,7,0,LAM_VECTOR,765.8,259.9,104.98,467.5,78.6,1.995,0,ASML_XT1900i,31.24,7.1,109.2,59.9,89.96,6.3,6,0,LAM_9400_TCP,46.4,56.3,820.1,71.45,109.1,10.14,3.98,90.35,3,0,MATTSON_ASPEN2,1439.1,229.1,172.0,0.091,0,AMAT_QUANTUMX,1030440375682612.0,38.86,6.24,16.71,,0,TEL_RTP,1059.2,71.46,11.7,89.32,0,NOVELLUS_MOMENTUM,4.06,62.0,183.3,89.6,124.37,-1.65,2.49,0,0,NOVELLUS_INOVA,10.65,54.6,3.1,153.72,1.787,83.12,0,SEMITOOL_EQUINOX,21.48,25.8,7.61,115.9,1,263.7,0,TEL_TELINDY,8.32,26.7,1.5,10.63,87.88,Good,0,36.3421,93.99,0.3409,1.071,10.144,0,0
119,BATCH_005,5,Night,LOADPOINT_LP3,727.4,1.17,0.0,0,TEL_UW1200,77.1,553.0,78.6,28.7,4,0.468,0,AVIZA_ATMOS,1003.9,63.4,5.13,105.15,5.15,3.06,6,0,LAM_VECTOR,736.5,258.9,102.96,449.2,83.14,2.033,0,ASML_XT1900i,30.57,105.0,111.5,59.2,88.48,8.0,6,0,LAM_9400_TCP,43.4,59.9,790.6,87.32,94.3,10.02,3.4,90.49,4,0,MATTSON_ASPEN2,1623.3,259.3,186.0,0.61,1,AMAT_QUANTUMX,961786795732713.0,39.85,7.13,15.01,84.03,0,TEL_RTP,1081.6,72.79,12.1,100,1,NOVELLUS_MOMENTUM,4.49,60.0,214.9,95.3,138.26,11.3,1.66,5,0,NOVELLUS_INOVA,12.88,48.4,3.16,148.78,1.864,86.04,0,SEMITOOL_EQUINOX,18.54,25.1,7.44,126.8,0,294.7,0,TEL_TELINDY,8.38,27.2,2.23,9.12,88.69,Good,0,40.5881,97.19,0.339,0.96,10.172,2,1
120,BATCH_005,5,Afternoon,LOADPOINT_LP3,726.7,1.62,2.0,0,TEL_UW1200,79.5,573.0,76.0,29.3,16,0.553,0,AVIZA_ATMOS,997.0,56.4,5.38,97.95,2.05,2.52,5,0,LAM_VECTOR,755.8,251.6,101.2,515.4,81.47,2.024,0,ASML_XT1900i,29.46,-42.5,108.8,62.7,87.06,2.3,0,0,LAM_9400_TCP,48.6,58.8,805.2,84.23,108.7,10.05,3.62,88.67,3,0,MATTSON_ASPEN2,1717.0,242.4,221.0,0.059,0,AMAT_QUANTUMX,1007814465541940.0,40.21,6.63,13.72,78.79,0,TEL_RTP,1048.1,77.69,9.6,85.38,0,NOVELLUS_MOMENTUM,4.3,63.1,208.7,90.8,132.51,0.47,2.13,5,0,NOVELLUS_INOVA,11.0,45.9,3.37,146.12,1.812,84.29,0,SEMITOOL_EQUINOX,19.51,24.6,8.56,126.4,1,349.6,0,TEL_TELINDY,8.58,29.5,2.18,10.29,88.81,Good,0,39.2506,89.75,0.3397,1.049,10.345,0,0
121,BATCH_005,5,Night,LOADPOINT_LP3,723.3,2.13,6.1,0,TEL_UW1200,80.1,566.0,77.1,29.5,17,0.537,0,AVIZA_ATMOS,1003.5,60.9,5.01,102.12,2.12,2.88,8,0,LAM_VECTOR,755.6,250.7,97.38,470.4,79.17,2.033,0,ASML_XT1900i,30.64,32.6,109.7,58.5,95.12,4.6,8,0,LAM_9400_TCP,41.8,66.2,831.6,80.26,87.8,9.63,2.95,89.89,5,0,MATTSON_ASPEN2,1607.9,268.4,175.0,0.07,0,AMAT_QUANTUMX,1004718338598210.0,40.79,7.17,14.56,75.87,0,TEL_RTP,1049.5,74.41,10.0,84.41,0,NOVELLUS_MOMENTUM,4.6,62.0,218.5,87.8,141.0,5.17,1.97,6,0,NOVELLUS_INOVA,12.53,47.0,3.27,154.16,1.678,83.43,0,SEMITOOL_EQUINOX,20.68,24.4,8.07,114.3,0,253.9,0,TEL_TELINDY,8.28,30.7,2.08,9.56,89.11,Good,0,48.9698,87.09,0.3404,0.974,9.137,0,0
122,BATCH_005,5,Night,LOADPOINT_LP3,722.1,0.37,2.0,0,TEL_UW1200,78.4,569.0,77.3,27.0,15,0.726,0,AVIZA_ATMOS,1005.1,61.6,5.21,100.86,0.86,2.32,4,0,LAM_VECTOR,731.0,208.5,91.89,518.3,76.25,1.987,0,ASML_XT1900i,26.62,1.0,111.0,60.7,87.13,5.8,3,0,LAM_9400_TCP,40.7,60.9,840.9,83.78,94.3,9.87,2.55,88.89,4,0,MATTSON_ASPEN2,1464.8,242.5,165.0,0.199,0,AMAT_QUANTUMX,1037893322829468.0,41.29,6.88,14.43,77.83,0,TEL_RTP,1060.5,78.47,9.5,86.5,0,NOVELLUS_MOMENTUM,5.03,56.7,217.7,88.1,147.12,8.63,2.47,3,0,NOVELLUS_INOVA,11.53,48.1,2.8,152.03,1.601,76.52,0,SEMITOOL_EQUINOX,19.44,25.0,8.5,113.5,1,274.0,0,TEL_TELINDY,8.09,29.4,2.12,9.49,89.06,Good,0,41.8355,92.34,0.3396,1.021,10.153,0,0
123,BATCH_005,5,Afternoon,LOADPOINT_LP3,724.8,0.39,3.6,0,TEL_UW1200,77.9,567.0,79.9,28.4,12,0.377,0,AVIZA_ATMOS,1010.3,62.4,4.77,100.89,0.89,3.4,5,0,LAM_VECTOR,769.7,212.0,100.02,489.4,80.34,2.021,0,ASML_XT1900i,32.13,32.4,112.2,63.5,92.37,6.9,4,0,LAM_9400_TCP,44.4,62.1,767.5,86.79,110.5,9.96,3.98,88.75,4,0,MATTSON_ASPEN2,1486.1,245.7,205.0,0.363,0,AMAT_QUANTUMX,981505460846510.0,37.92,7.09,15.32,85.78,0,TEL_RTP,1069.5,78.88,10.7,93.53,0,NOVELLUS_MOMENTUM,4.37,55.0,181.8,86.4,125.14,9.05,2.11,6,0,NOVELLUS_INOVA,11.43,46.9,2.61,147.05,1.944,80.47,0,SEMITOOL_EQUINOX,18.32,24.8,9.73,117.3,0,282.4,0,TEL_TELINDY,7.6,28.7,1.89,9.69,85.45,Good,0,43.3728,93.99,0.3389,1.008,9.724,0,0
124,BATCH_005,5,Night,LOADPOINT_LP3,724.2,1.11,3.3,0,TEL_UW1200,78.4,635.0,78.4,26.5,9,0.67,0,AVIZA_ATMOS,995.0,57.6,4.67,96.17,3.83,2.31,6,0,LAM_VECTOR,750.3,240.5,102.6,483.7,79.86,2.042,0,ASML_XT1900i,32.18,25.6,111.1,57.8,90.29,1.5,6,0,LAM_9400_TCP,44.5,59.7,799.6,83.26,89.3,10.02,3.01,88.05,7,0,MATTSON_ASPEN2,1406.2,274.1,180.0,0.267,0,AMAT_QUANTUMX,1009125476363119.0,41.79,6.99,14.26,76.34,0,TEL_RTP,1057.6,81.0,11.7,89.71,0,NOVELLUS_MOMENTUM,4.46,61.7,224.0,72.9,149.73,0.73,2.18,5,0,NOVELLUS_INOVA,12.48,44.2,2.56,148.41,1.939,91.74,0,SEMITOOL_EQUINOX,20.15,26.3,8.6,125.2,0,317.6,0,TEL_TELINDY,7.71,29.3,2.17,9.15,89.97,Good,0,40.3423,95.34,0.3401,0.945,9.991,0,0
125,BATCH_005,5,Night,LOADPOINT_LP3,721.3,1.56,0.5,0,TEL_UW1200,77.1,592.0,80.4,28.0,15,0.42,0,AVIZA_ATMOS,1004.7,64.0,5.14,106.3,6.3,2.18,7,0,LAM_VECTOR,765.6,257.7,103.21,476.6,80.04,2.015,0,ASML_XT1900i,31.47,-4.5,110.6,65.4,93.95,17.8,7,0,LAM_9400_TCP,45.5,59.3,742.9,82.24,83.2,10.15,3.59,87.95,7,0,MATTSON_ASPEN2,1485.8,256.8,161.0,0.745,1,AMAT_QUANTUMX,983065692884516.0,42.24,6.49,15.18,78.85,0,TEL_RTP,1050.1,73.44,9.4,85.22,0,NOVELLUS_MOMENTUM,4.71,59.2,178.7,75.5,133.93,3.75,1.95,5,0,NOVELLUS_INOVA,12.24,55.2,2.65,145.54,2.188,79.19,0,SEMITOOL_EQUINOX,19.99,26.4,8.45,124.1,0,315.2,0,TEL_TELINDY,8.77,29.8,1.8,11.19,89.57,Good,0,39.8541,91.69,0.34,0.847,9.749,1,0
126,BATCH_006,6,Night,LOADPOINT_LP3,724.4,1.0,6.8,0,AKRION_GAMMA,80.0,603.0,75.8,35.5,8,0.545,0,TEL_INDY_PLUS,1005.4,61.8,5.5,101.84,1.84,2.57,4,0,LAM_VECTOR,769.1,240.9,99.2,475.7,79.87,2.027,0,NIKON_NSR_S620,29.23,-6.7,109.1,62.7,90.07,9.0,4,0,TEL_TELIUS,43.7,56.0,777.7,79.09,108.1,10.24,3.37,87.78,1,0,IRIDIA_RF,1357.8,214.0,192.0,0.216,0,AMAT_QUANTUMX,987215335591876.0,39.93,7.34,15.32,80.4,0,MATTSON_HELIOS,1049.3,72.67,11.7,83.41,0,NOVELLUS_MOMENTUM,4.57,57.3,217.4,90.7,122.31,5.43,1.84,5,0,ULVAC_ENTRON,12.02,48.3,2.61,151.15,1.832,82.12,0,NOVELLUS_SABRE,19.23,24.6,8.41,139.3,0,292.1,0,AMAT_ENDURA_PVD,8.3,26.6,2.16,9.78,86.92,Good,0,36.0051,92.0,0.3395,1.011,10.233,0,0
127,BATCH_006,6,Night,LOADPOINT_LP3,728.2,0.4,5.0,0,AKRION_GAMMA,80.0,548.0,81.5,27.1,8,0.713,0,TEL_INDY_PLUS,999.3,63.6,5.16,101.9,1.9,2.69,9,0,LAM_VECTOR,750.1,270.7,109.04,498.9,81.37,1.996,0,NIKON_NSR_S620,33.32,15.6,111.6,63.3,93.31,10.4,8,0,TEL_TELIUS,46.4,59.5,792.0,83.65,92.4,10.04,3.72,92.67,7,1,IRIDIA_RF,1539.7,278.4,173.0,0.976,1,AMAT_QUANTUMX,980550781017584.0,39.35,6.68,14.01,83.38,0,MATTSON_HELIOS,1050.1,71.65,9.7,85.72,0,NOVELLUS_MOMENTUM,3.98,61.7,196.8,101.1,126.71,-2.24,2.08,5,0,ULVAC_ENTRON,11.92,52.9,3.03,139.15,1.764,85.19,0,NOVELLUS_SABRE,20.16,23.1,8.78,129.1,0,278.0,0,AMAT_ENDURA_PVD,7.25,28.8,2.08,9.81,87.54,Good,0,40.0976,92.0,0.3401,0.952,9.708,2,1
128,BATCH_006,6,Afternoon,LOADPOINT_LP3,722.9,2.47,3.1,0,AKRION_GAMMA,79.3,659.0,77.7,28.4,14,0.876,0,TEL_INDY_PLUS,1006.7,64.8,5.0,106.4,6.4,3.14,3,0,LAM_VECTOR,752.4,254.5,88.23,450.6,74.81,1.992,0,NIKON_NSR_S620,29.06,29.6,109.2,60.9,93.46,7.2,3,0,TEL_TELIUS,43.2,58.2,822.2,76.51,102.8,10.05,2.98,87.55,3,0,IRIDIA_RF,1532.8,274.3,176.0,0.725,1,AMAT_QUANTUMX,995976583541916.0,39.45,7.06,14.93,80.05,0,MATTSON_HELIOS,1059.4,77.3,9.0,85.81,0,NOVELLUS_MOMENTUM,4.7,55.2,202.2,90.9,122.37,3.83,1.8,2,0,ULVAC_ENTRON,13.11,53.8,2.99,139.01,1.839,86.55,0,NOVELLUS_SABRE,20.84,25.9,7.99,117.9,0,292.1,0,AMAT_ENDURA_PVD,8.35,29.3,1.72,9.5,91.08,Good,0,38.5361,91.31,0.3405,1.042,9.702,1,1
129,BATCH_006,6,Night,LOADPOINT_LP3,725.2,1.23,1.4,0,AKRION_GAMMA,78.3,606.0,79.2,27.3,8,0.049,0,TEL_INDY_PLUS,994.9,54.3,5.02,92.96,7.04,1.95,0,0,LAM_VECTOR,751.7,267.0,111.57,501.4,72.35,2.045,1,NIKON_NSR_S620,25.38,27.6,110.9,56.3,89.46,7.3,7,0,TEL_TELIUS,41.8,61.7,821.2,74.22,109.1,9.87,3.56,90.21,4,0,IRIDIA_RF,1549.9,258.5,188.0,0.564,1,AMAT_QUANTUMX,983999428611368.0,41.37,7.15,15.48,81.42,0,MATTSON_HELIOS,1061.6,76.44,10.8,92.18,0,NOVELLUS_MOMENTUM,4.73,59.2,201.6,83.4,127.97,2.27,2.73,2,0,ULVAC_ENTRON,11.27,47.6,3.08,159.58,1.976,88.37,0,NOVELLUS_SABRE,21.74,23.6,7.78,109.8,0,271.9,0,AMAT_ENDURA_PVD,7.34,30.5,1.82,9.08,91.91,Good,0,42.8555,95.91,0.3411,1.072,9.923,2,0
130,BATCH_006,6,Morning,LOADPOINT_LP3,727.1,1.08,0.9,0,AKRION_GAMMA,77.5,558.0,80.3,27.0,8,0.398,0,TEL_INDY_PLUS,997.2,63.2,5.06,103.95,3.95,1.78,7,0,LAM_VECTOR,750.7,267.7,106.99,495.3,88.72,2.01,1,NIKON_NSR_S620,35.54,45.6,110.2,63.2,90.18,12.4,3,0,TEL_TELIUS,48.1,58.9,813.3,80.3,103.5,10.03,2.14,90.27,2,0,IRIDIA_RF,1467.1,258.0,178.0,0.148,0,AMAT_QUANTUMX,964066273693896.0,37.93,7.28,14.02,82.39,0,MATTSON_HELIOS,1037.5,72.91,11.6,80.89,0,NOVELLUS_MOMENTUM,4.41,58.1,204.0,84.7,123.98,-0.09,2.22,3,0,ULVAC_ENTRON,11.86,50.7,2.79,156.82,1.728,85.94,0,NOVELLUS_SABRE,20.67,25.1,8.62,128.7,0,348.2,0,AMAT_ENDURA_PVD,7.71,36.2,2.36,10.01,90.85,Good,0,39.3707,95.75,0.3404,1.034,10.012,1,0
131,BATCH_006,6,Afternoon,LOADPOINT_LP3,726.9,0.13,4.9,0,AKRION_GAMMA,77.0,594.0,79.2,33.1,7,0.384,0,TEL_INDY_PLUS,1010.9,64.4,4.65,103.5,3.5,2.81,5,0,LAM_VECTOR,737.9,250.2,86.42,503.2,79.73,2.0,0,NIKON_NSR_S620,29.63,16.9,107.8,58.6,89.35,16.7,2,0,TEL_TELIUS,46.9,58.3,764.4,83.03,85.1,10.16,3.6,90.14,2,0,IRIDIA_RF,1588.1,254.0,162.0,0,0,AMAT_QUANTUMX,1057552342927863.0,38.77,7.42,14.58,76.54,0,MATTSON_HELIOS,1046.9,77.51,8.6,84.03,0,NOVELLUS_MOMENTUM,4.65,65.2,207.2,90.7,149.16,5.73,2.39,3,0,ULVAC_ENTRON,12.18,44.5,2.65,148.99,1.844,85.51,0,NOVELLUS_SABRE,20.24,23.6,8.5,121.8,1,285.6,0,AMAT_ENDURA_PVD,7.79,30.0,2.49,9.19,89.73,Good,0,38.6544,95.5,0.3402,0.881,10.226,0,0
132,BATCH_006,6,Night,LOADPOINT_LP3,725.8,1.0,5.1,0,AKRION_GAMMA,79.2,565.0,77.1,34.7,16,0.323,0,TEL_INDY_PLUS,1006.8,62.0,5.44,105.2,5.2,2.46,7,0,LAM_VECTOR,741.7,270.0,97.49,530.9,76.82,2.002,0,NIKON_NSR_S620,29.14,-122.0,110.8,60.8,93.2,15.6,6,0,TEL_TELIUS,45.1,60.3,842.3,83.52,105.8,9.9,3.29,88.97,5,0,IRIDIA_RF,1621.6,254.2,168.0,0.271,0,AMAT_QUANTUMX,1003621505336569.0,41.58,6.83,14.83,80.09,0,MATTSON_HELIOS,1064.5,77.7,9.0,92.38,0,NOVELLUS_MOMENTUM,4.28,61.1,218.3,96.0,130.71,-0.04,2.49,3,0,ULVAC_ENTRON,10.31,49.2,3.07,154.36,1.963,84.17,0,NOVELLUS_SABRE,18.23,23.4,7.25,125.1,1,291.5,0,AMAT_ENDURA_PVD,8.66,32.2,1.84,9.89,92.35,Good,0,41.0835,90.56,0.3388,1.083,9.583,0,1
133,BATCH_006,6,Afternoon,LOADPOINT_LP3,723.7,0.54,3.6,0,AKRION_GAMMA,77.5,582.0,80.4,27.3,10,0.564,0,TEL_INDY_PLUS,995.3,61.1,4.41,102.36,2.36,2.95,7,0,LAM_VECTOR,738.8,270.9,103.61,499.5,82.13,2.018,0,NIKON_NSR_S620,31.8,22.8,112.6,53.7,91.39,5.4,3,0,TEL_TELIUS,46.0,62.0,814.5,74.92,98.3,9.87,3.36,89.52,5,0,IRIDIA_RF,1488.9,226.0,198.0,0.133,0,AMAT_QUANTUMX,1032232502869871.0,39.61,6.57,15.13,79.16,0,MATTSON_HELIOS,1060.8,74.46,11.0,93.53,0,NOVELLUS_MOMENTUM,4.61,55.2,165.4,79.1,142.07,10.65,2.01,3,0,ULVAC_ENTRON,11.81,47.9,2.85,149.71,1.862,86.64,0,NOVELLUS_SABRE,20.84,25.7,8.21,109.5,1,310.1,0,AMAT_ENDURA_PVD,8.61,28.6,1.89,11.46,89.39,Good,0,43.243,94.75,0.3405,1.009,9.733,0,0
134,BATCH_006,6,Morning,LOADPOINT_LP3,724.6,0.82,2.0,0,AKRION_GAMMA,78.4,636.0,77.0,31.2,12,0.265,0,TEL_INDY_PLUS,998.8,65.8,4.98,100.09,0.09,3.68,7,0,LAM_VECTOR,748.6,233.6,105.1,501.3,78.18,1.978,0,NIKON_NSR_S620,28.01,-13.0,106.8,69.8,89.84,13.2,5,0,TEL_TELIUS,43.3,63.6,813.8,83.76,104.9,9.79,2.24,88.51,2,0,IRIDIA_RF,1435.8,234.4,210.0,0.109,0,AMAT_QUANTUMX,1012072009970672.0,40.65,6.14,14.91,76.01,0,MATTSON_HELIOS,1058.0,73.41,9.5,86.91,0,NOVELLUS_MOMENTUM,4.78,63.7,198.0,79.9,131.01,15.25,1.95,6,0,ULVAC_ENTRON,11.35,57.3,3.23,150.47,1.887,89.62,0,NOVELLUS_SABRE,21.47,24.3,7.66,128.4,0,316.4,0,AMAT_ENDURA_PVD,7.59,32.3,1.76,11.64,88.53,Good,0,45.3577,93.84,0.3409,1.042,9.806,0,0
135,BATCH_006,6,Morning,LOADPOINT_LP3,721.8,0.51,4.1,0,AKRION_GAMMA,77.8,591.0,77.8,32.6,12,0.407,0,TEL_INDY_PLUS,1006.3,58.9,5.35,98.66,1.34,2.81,5,0,LAM_VECTOR,753.3,271.8,108.58,501.6,82.53,1.997,0,NIKON_NSR_S620,31.43,-123.7,112.0,64.5,92.09,16.7,6,0,TEL_TELIUS,42.9,59.0,820.8,81.46,101.5,10.01,1.64,87.22,3,0,IRIDIA_RF,1501.4,261.5,170.0,0.487,0,AMAT_QUANTUMX,1031240857779527.0,38.73,7.11,14.61,76.04,0,MATTSON_HELIOS,1056.4,75.79,10.5,93.47,0,NOVELLUS_MOMENTUM,4.52,59.2,216.7,91.8,132.13,8.34,1.4,4,0,ULVAC_ENTRON,11.78,50.1,3.28,148.16,1.621,80.96,0,NOVELLUS_SABRE,20.01,23.4,6.79,116.0,0,299.3,0,AMAT_ENDURA_PVD,8.24,30.9,1.92,9.51,90.48,Good,0,39.4911,93.96,0.34,1.034,9.801,0,0
136,BATCH_006,6,Night,LOADPOINT_LP3,730.1,1.17,0.1,0,AKRION_GAMMA,79.9,579.0,77.7,36.3,9,1.024,0,TEL_INDY_PLUS,989.5,66.6,4.99,104.62,4.62,2.01,6,0,LAM_VECTOR,752.1,282.3,92.5,482.5,82.46,1.997,0,NIKON_NSR_S620,28.54,-29.7,109.7,59.3,85.84,1.5,7,0,TEL_TELIUS,48.4,62.0,846.4,88.24,75.6,9.81,2.89,89.93,1,0,IRIDIA_RF,1535.1,262.4,181.0,0,0,AMAT_QUANTUMX,975026918558159.0,40.7,6.89,14.93,85.73,0,MATTSON_HELIOS,1058.1,72.12,11.1,87.36,0,NOVELLUS_MOMENTUM,4.32,64.8,206.3,87.2,134.35,3.68,2.6,6,0,ULVAC_ENTRON,11.57,46.4,3.18,146.55,1.668,90.64,0,NOVELLUS_SABRE,19.36,23.7,8.34,125.0,0,241.4,0,AMAT_ENDURA_PVD,7.94,30.5,1.98,10.9,90.77,Good,0,43.243,91.89,0.3396,0.92,10.218,0,0
137,BATCH_006,6,Morning,LOADPOINT_LP3,724.1,1.64,0.1,0,AKRION_GAMMA,79.0,618.0,80.1,27.9,11,0.563,0,TEL_INDY_PLUS,996.9,55.7,5.05,97.66,2.34,2.58,5,0,LAM_VECTOR,760.6,266.0,103.62,481.8,81.22,1.977,0,NIKON_NSR_S620,29.55,-34.0,112.4,60.7,91.13,7.6,0,0,TEL_TELIUS,44.1,58.1,815.4,79.93,99.1,10.06,2.53,90.03,2,0,IRIDIA_RF,1499.4,261.2,177.0,0,0,AMAT_QUANTUMX,930487405917161.0,40.3,7.14,13.93,87.7,0,MATTSON_HELIOS,1065.2,74.13,9.5,89.95,0,NOVELLUS_MOMENTUM,4.45,63.9,219.9,96.8,148.98,4.56,2.0,5,0,ULVAC_ENTRON,11.67,47.5,2.94,143.86,1.793,80.81,0,NOVELLUS_SABRE,19.2,23.6,8.19,108.9,1,291.7,0,AMAT_ENDURA_PVD,7.39,28.6,1.83,9.97,90.98,Good,0,38.418,93.5,0.3395,1.015,9.946,0,0
138,BATCH_006,6,Morning,LOADPOINT_LP3,723.4,0.03,3.2,0,AKRION_GAMMA,78.1,585.0,80.0,30.9,7,0.013,0,TEL_INDY_PLUS,1003.9,59.8,5.34,99.93,0.07,2.21,9,0,LAM_VECTOR,767.4,278.6,93.12,545.1,73.13,2.008,1,NIKON_NSR_S620,24.46,-40.1,109.1,56.4,86.74,5.6,6,0,TEL_TELIUS,41.4,56.4,772.7,73.89,96.0,10.23,2.91,89.86,2,0,IRIDIA_RF,1359.7,258.0,209.0,0.314,0,AMAT_QUANTUMX,1005147621843565.0,37.39,7.0,15.63,82.99,0,MATTSON_HELIOS,1044.9,65.57,10.3,83.46,0,NOVELLUS_MOMENTUM,4.32,59.4,196.1,93.5,136.81,20.7,2.53,11,0,ULVAC_ENTRON,12.6,47.7,3.24,149.03,1.851,85.88,0,NOVELLUS_SABRE,17.42,23.6,7.8,117.2,0,287.8,0,AMAT_ENDURA_PVD,8.7,24.6,1.92,10.03,89.07,Good,0,36.4551,96.49,0.3382,0.946,10.563,1,1
139,BATCH_006,6,Morning,LOADPOINT_LP3,723.8,0.36,2.6,0,AKRION_GAMMA,78.5,597.0,78.4,29.5,11,0.627,0,TEL_INDY_PLUS,1001.0,62.5,4.99,102.72,2.72,2.19,6,0,LAM_VECTOR,776.5,252.9,117.37,527.9,77.02,2.007,0,NIKON_NSR_S620,27.35,-30.2,110.4,59.9,90.71,10.4,2,0,TEL_TELIUS,44.4,61.3,767.0,85.26,93.8,10.0,2.2,88.9,2,0,IRIDIA_RF,1521.5,254.8,169.0,0.453,0,AMAT_QUANTUMX,1018387075083993.0,41.51,7.03,16.15,80.48,0,MATTSON_HELIOS,1069.0,72.32,12.1,93.49,0,NOVELLUS_MOMENTUM,4.81,59.3,168.0,83.6,139.51,8.14,2.29,5,0,ULVAC_ENTRON,12.09,48.3,2.79,153.22,1.931,85.07,0,NOVELLUS_SABRE,20.51,25.4,7.28,111.6,0,279.1,0,AMAT_ENDURA_PVD,7.81,29.4,1.68,9.8,89.21,Good,0,42.343,94.25,0.3403,0.929,9.929,0,0
